subAccountNumber,customerReference,businessName,propertyName,propertyNumber,outletTelephoneNumber,businessTypeDescription,faxNumber,email,customerWebSite,password,venueId,contactTitle,contactForename,contactSurname,contactPosition,contactTelephoneNumber,contactMobileNumber,contactEmailAddress,newContactId,updatedContactTitle,updatedContactForename,updatedContactSurname,updatedContactPosition,updatedContactTelephoneNumber,updatedContactMobileNumber,updatedContactEmailAddress,numberContacts,numberAgreements,updatedOutletTelephoneNumber,updatedBusinessName
186799200001,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200002,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200003,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200004,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200005,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200006,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200007,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200008,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200009,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200010,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200011,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200012,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200013,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200014,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200015,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200016,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
186799200017,,,,,,,,,,,,Mr,Arthur,Leroy,Owner,,,arthur@sterlingdevere.com,,,,,,,,,,,,
