subAccountNumber,customerReference,businessName,propertyName,propertyNumber,outletTelephoneNumber,businessTypeDescription,faxNumber,email,customerWebSite,password,venueId,contactTitle,contactForename,contactSurname,contactPosition,contactTelephoneNumber,contactMobileNumber,contactEmailAddress,newContactId,updatedContactTitle,updatedContactForename,updatedContactSurname,updatedContactPosition,updatedContactTelephoneNumber,updatedContactMobileNumber,updatedContactEmailAddress,numberContacts,numberAgreements,updatedOutletTelephoneNumber,updatedBusinessName
180887200004,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200005,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200006,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200007,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200008,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200009,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200010,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200011,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200012,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200013,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200014,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200015,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200016,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200017,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200018,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200019,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200020,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200021,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200022,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200023,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
180887200024,,,,,,,,,,,,Mr,Service,Desk,,02073308400,,servicedeskgb@savills.com ,,,,,,,,,,,,
